14 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 14
34 46 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 4 114 3
34 0 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 0 3
34 0 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 114 114 114 14 14 14 14 14 14 0 3
34 0 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 114 39 114 14 14 14 14 14 14 0 3
34 0 14 14 14 14 14 14 114 114 114 114 114 114 114 114 114 114 114 114 114 114 114 14 14 114 10 114 14 14 14 14 14 14 14 14
34 0 14 14 14 14 14 14 114 99 40 40 40 40 40 40 40 40 40 40 40 100 114 14 14 114 10 114 14 14 14 14 14 14 14 14
34 0 14 14 14 14 14 14 114 114 114 114 114 114 114 114 114 114 114 114 114 114 114 14 14 114 10 114 14 14 14 14 14 14 14 14
34 0 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 114 10 114 14 14 14 14 14 14 14 14
34 0 14 14 14 14 14 14 14 114 114 114 114 114 114 114 114 114 114 114 114 114 114 14 14 114 10 114 14 14 14 14 14 14 0 3
34 0 14 14 14 14 14 14 14 114 99 40 40 40 40 40 40 40 40 40 40 100 114 14 14 114 10 114 14 14 14 14 14 14 0 3
34 0 14 14 14 14 14 14 14 114 114 114 114 114 114 114 114 114 114 114 114 114 114 14 14 114 10 114 14 14 14 14 14 14 0 3
34 0 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 114 10 114 14 14 14 14 14 14 0 3
34 0 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 114 10 114 14 14 14 14 14 14 14 14
34 0 14 14 14 14 14 14 114 114 114 114 114 114 114 114 114 114 114 114 114 114 114 14 14 114 10 114 14 14 14 14 14 14 14 14
34 0 14 14 14 14 14 14 114 99 40 40 40 40 40 40 40 40 40 40 40 100 114 14 14 114 10 114 14 14 14 14 14 14 14 14
34 0 14 14 14 14 14 14 114 114 114 114 114 114 114 114 114 114 114 114 114 114 114 14 14 114 10 114 14 14 14 14 14 14 14 14
34 0 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 114 10 114 14 14 14 14 14 14 0 3
34 0 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 114 9 114 14 14 14 14 14 14 0 3
34 0 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 114 114 114 14 14 14 14 14 14 0 3
34 0 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 0 3
34 0 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 0 3
34 44 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 11 3
14 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 14
